t,d
1,-0.0485506
2,-0.00120851
3,0.000367808
4,-0.00231194
5,0.0153428
6,0.025116
7,0.0149225
8,0.0557492
9,0.0205447
10,-0.0121377
11,-0.0490235
12,0.00436115
13,0.00147123
14,-0.00341536
15,0.00998336
16,0.022121
17,0.0160259
18,0.00798669
19,0.0364655
20,0.000840704
21,-0.0416148
22,0.0312637
23,0.0158157
24,0.00162886
25,0.0142394
26,0.0331027
27,0.0210701
28,0.0199142
29,0.0379893
30,0.0133987
31,-0.0475523
32,0.00577984
33,0.00493914
34,0.0240126
35,0.0231719
36,0.0234346
37,0.0136614
38,0.0518084
39,0.033418
40,0.0138716
41,-0.0473947
42,0.0110342
43,0.0184955
44,-0.00304755
45,0.0117173
46,0.02685
47,0.0272703
48,0.0156056
49,0.0459234
50,0.00551712
51,-0.044242
52,-0.01198
53,0.0158683
54,-0.020282
55,0.00231194
56,0.0380944
57,0.0372011
58,0.0347841
59,0.0276907
60,0.0520186
61,-0.0491812
62,-0.0199667
63,0.0188633
64,0.00909011
65,0.00546458
66,0.0422979
67,0.0252737
68,0.0176022
69,0.0384622
70,-0.00152378
71,-0.0440844
72,-0.0134513
73,0.0156056
74,0.00572729
75,0.00803923
76,0.0384622
77,0.0183904
78,0.0279009
79,0.0518084
80,0.0148174
81,-0.0397233
82,0.00467642
83,0.00136614
84,-0.0367808
85,0.0140292
86,0.0360977
87,0.00604256
88,0.0190209
89,0.0433488
90,0.0450827
91,-0.0399334
92,0.0391453
93,0.0108241
94,-0.00814432
95,0.00409843
96,0.0414572
97,0.0151852
98,0.0190209
99,0.0403538
100,0.00961555
101,-0.0253262
102,-0.00199667
103,0.00972064
104,0.00761888
105,0.0120326
106,0.0280059
107,0.0321044
108,0.0267449
109,0.0240651
110,0.00830195
111,-0.0337332
112,0.0155005
113,0.00520186
114,-0.0181802
115,0.0122953
116,0.0336807
117,0.0263771
118,0.00672563
119,0.0280059
120,-0.000840704
121,-0.0124529
122,0.00630528
123,0.0130309
124,-0.01797
125,0.00373062
126,0.0473421
127,0.0183379
128,0.0130835
129,0.0360977
130,-0.00241702
131,-0.0348367
132,0.0303179
133,0.000210176
134,0.000945792
135,0.0254838
136,0.0500744
137,0.00630528
138,0.0102986
139,0.033418
140,-0.0189684
141,-0.0310535
142,0.0202294
143,0.00420352
144,-0.0181802
145,0.0163412
146,0.0214905
147,0.00257466
148,0.0331553
149,0.0454506
150,-0.0153954
151,-0.034679
152,0.0160785
153,0.000420352
154,0.0302653
