t,d
1,-0.0148933
2,-0.00664384
3,-0.00226998
4,-0.00847089
5,0.00885845
6,0.00963357
7,-0.00249144
8,0.00647774
9,-0.00537044
10,-0.0195993
11,0.0148379
12,0.0219247
13,-0.0112392
14,-0.00310046
15,0.0107962
16,-0.0066992
17,-0.00166096
18,0.00891382
19,0.000442923
20,0.0102979
21,0.000442923
22,-0.0229212
23,-0.0094121
24,0.0112945
25,-0.0014395
26,-0.0104087
27,0.00841553
28,0.0188796
29,-0.00442923
30,-0.0177169
31,0.000221461
32,0.000110731
33,-0.00382021
34,0.00852626
35,0.00647774
36,0.00177169
37,0.0116821
38,-0.00116267
39,-0.0183813
40,0.00459532
41,0.00963357
42,-0.0158898
43,0.00243607
44,0.0203191
45,0.00498288
46,-0.0132323
47,-0.0125126
48,0.0114053
49,0.0222569
50,-0.00902455
51,-0.0160006
52,0.0158345
53,0.00110731
54,-0.00481678
55,0.0117374
56,-0.0140074
57,-0.0120143
58,0.0241946
59,0.00437386
60,-0.00786188
61,0.0124572
62,-0.0222569
63,-0.0256341
64,0.0197101
65,0.000166096
66,-0.0108516
67,0.0329977
68,0.00326655
69,-0.0138967
70,0.0122911
71,-0.00680993
72,-0.0145057
73,0.00930137
74,-0.00304509
75,0.000553653
76,0.00570263
77,-0.0134538
78,-0.00166096
79,0.0232534
80,-0.00514897
81,-0.0109623
82,0.0070314
83,-0.0119035
84,0.000664384
85,0.0191564
86,-0.0131769
87,-0.00387557
88,0.0260771
89,-0.0109623
90,-0.0150594
91,0.0135091
92,-0.0101872
93,-0.00769578
94,0.0193779
95,0.00249144
96,-0.0136199
97,-0.00188242
98,-0.00658847
99,-0.0119589
100,0.00326655
101,0.00658847
102,0.000387557
103,-0.00387557
104,-0.00636701
105,0.0125126
106,0.0138967
107,0
108,0.00907991
109,-0.00509361
110,-0.0272951
111,-0.0102979
112,0.00470605
113,0
114,0.0164435
115,0.0163881
116,-0.00930137
117,-0.015613
118,0.000332192
119,0.00282363
120,0.00393094
121,0.000553653
122,-0.00409703
123,0.00575799
124,0.000387557
125,-0.00985503
126,0.00459532
127,0.00692066
128,-0.00354338
129,0.010464
130,0.0097443
131,-0.00465069
132,-0.012125
133,-0.0154469
134,0.0055919
135,0.0212049
136,-0.0025468
137,-0.0102979
138,0.00786188
139,0.00138413
140,-0.00332192
141,0.0137306
142,-0.00570263
143,-0.0131216
144,0.00531507
145,0.00354338
146,-0.00138413
147,0.00614555
148,-0.00293436
149,-0.00243607
150,0.0158345
151,-0.00459532
152,-0.0217586
153,5.53653e-05
154,0.00697603
155,0.00243607
156,0.00891382
157,-0.00614555
158,-0.00808334
159,0.0148933
160,0.00525971
161,-0.0119035
162,-0.000221461
163,-0.00149486
164,-0.00991039
165,0.00420776
166,0.00841553
167,0.00182706
168,0.00714213
169,0.00116267
170,-0.000719749
171,0.0152255
172,-0.00752968
173,-0.0238625
174,0.00249144
175,0.0144503
176,-0.00315582
177,0.00315582
178,0.0095782
179,-0.00199315
180,-0.00603482
181,-0.0141735
182,-0.00775114
183,0.0141182
184,0.00764041
185,-0.00896918
186,0.000442923
187,0.00564726
188,-0.000221461
189,0.00354338
190,-0.00293436
191,-0.00481678
192,0.00514897
193,-0.0125126
194,-0.0105748
195,0.0212603
196,0.00979966
197,-0.0176615
198,0.000553653
199,0.0100765
200,-0.00409703
201,-0.00116267
202,-0.0025468
203,-0.00437386
204,0.00188242
205,0.00525971
206,0.000996576
207,-0.00160559
208,0.0027129
209,0.00409703
210,-0.00221461
211,-0.0025468
212,-0.0054258
213,0.00193779
214,0.0116821
215,-0.00193779
216,-0.00636701
217,0
218,0.000996576
219,0.00714213
220,0.0100765
221,-0.011516
222,-0.0192671
223,-0.000885845
224,0.00448459
225,0.00083048
226,0.00564726
227,0
228,0.00470605
229,0.0111284
230,-0.00736359
231,-0.015004
232,0.0107409
233,0.00465069
234,-0.0212049
235,0.00199315
236,0.00537044
237,-0.00780651
238,0.0144503
239,0.00963357
240,-0.0176615
241,-0.00265754
242,-0.00359875
243,-0.0131769
244,0.0186027
245,0.0241946
246,-0.0168864
247,-0.00442923
248,0.0156684
249,-0.00714213
250,-0.000775114
251,0.00642238
252,-0.0120143
253,0.0172186
254,0.011516
255,-0.0270736
256,-0.00509361
257,0.00188242
258,-0.0123465
259,0.0150594
260,0.00935674
261,-0.0105748
262,0.0014395
263,-0.00509361
264,-0.0186581
265,0.0188242
266,0.0208174
267,-0.017883
268,0.00847089
269,0.0167757
270,-0.0152255
271,0.00337728
272,-0.00537044
273,-0.0258002
274,0.0159452
275,0.0190457
276,-0.00625628
277,-0.00304509
278,0.00326655
279,-0.000110731
280,0.0095782
281,-0.0039863
282,-0.0141735
283,0.00730822
284,0.00946747
285,-0.000332192
286,-0.00188242
287,-0.0135645
288,-0.00310046
289,0.0247483
290,-0.000221461
291,-0.00858162
292,0.00166096
293,-0.0145057
294,-0.00741895
295,0.00968893
296,-0.00354338
297,0.011516
298,0.0106855
299,-0.00968893
300,0.0124572
301,0.0143396
302,-0.0213156
303,-0.0139521
304,0.0114053
305,0.00420776
306,0.00315582
307,-0.00437386
308,-0.00979966
309,0.0185474
310,0.00321119
311,-0.0275719
312,0.00692066
313,0.0070314
314,-0.0158345
315,0.0097443
316,0.00863699
317,-0.00836016
318,0.00548117
319,-0.00764041
320,-0.0108516
321,0.0285131
322,0.00332192
323,-0.0272397
324,0.0120143
325,0.00498288
326,-0.0208727
327,-0.000498288
328,0.0111838
329,0.0151147
330,0.0223122
331,-0.0148379
332,-0.0300634
333,0.0124572
334,0.00642238
335,-0.0054258
336,0.0169418
337,-0.00210388
338,-0.00642238
339,0.0117928
340,-0.00891382
341,-0.00874772
342,0.0111838
343,-0.0081387
344,-0.0174954
345,0.0122911
346,0.00653311
347,-0.00902455
348,0.0126233
349,0.0106855
350,-0.00232534
351,0.00409703
352,-0.0205405
353,-0.0169972
354,0.0217586
355,0.0120696
356,-0.00808334
357,0.00210388
358,-0.00332192
359,0.00260217
360,0.0112392
361,-0.00752968
362,-0.0107409
363,0.00149486
364,-0.00420776
365,0.00431849
366,0.0111838
367,-0.0179384
368,-0.00564726
369,0.0236964
370,-0.000885845
371,-0.00171632
372,0.0147825
373,-0.017274
374,-0.0171632
375,0.0176615
376,0.0118482
377,0.00337728
378,0.0117928
379,-0.00249144
380,-0.00393094
381,0.00614555
382,-0.0217032
383,-0.0120143
384,0.019101
385,0.0027129
386,0.00985503
387,0.0141735
388,-0.0162774
389,-0.00664384
390,0.0100211
391,-0.0148933
392,0.00243607
393,0.0126787
394,-0.0230873
395,-0.00298973
396,0.0173293
397,-0.0150594
398,0.00404167
399,0.0258002
400,-0.00603482
401,-0.00658847
402,0.00121804
403,-0.0211496
404,-0.00459532
405,0.0188242
406,-0.0116267
407,0.000775114
408,0.0249698
409,-0.00752968
410,-0.0128448
411,0.00459532
412,-0.000664384
413,0.00492751
414,-0.00487215
415,-0.00741895
416,0.0172186
417,0.0100211
418,-0.0112945
419,0.00393094
420,0.00946747
421,-0.00775114
422,-0.00548117
423,0.0066992
424,0.00736359
425,-0.000276827
426,-0.0111838
427,-0.0083048
428,0.0157238
429,0.00979966
430,-0.00614555
431,0.00764041
432,0.00880309
433,-0.00553653
434,-0.0170525
435,-0.015613
436,0.00808334
437,0.0039863
438,-0.00149486
439,0.0144503
440,0.00786188
441,-0.0102426
442,-0.0097443
443,-0.00121804
444,-0.00858162
445,0.00448459
446,0.0054258
447,-0.00343265
448,0.0158345
449,0.00332192
450,-0.018492
451,0.00514897
452,0.00564726
453,-0.00592409
454,0.00298973
455,-0.00182706
456,-0.0125126
457,0.00509361
458,0.002879
459,-0.00393094
460,0.00952283
461,0
462,-0.0231427
463,0.0041524
464,0.0169418
465,-0.00537044
466,-0.00442923
467,5.53653e-05
468,0.00581336
469,0.0180491
470,-0.00824943
471,-0.0145611
472,0.00525971
473,-0.00797261
474,-0.0120143
475,0.00858162
476,0.00382021
477,-0.00919064
478,0.0158345
479,0.0126233
480,-0.0194332
481,-0.00470605
482,0.00155023
483,-0.00697603
484,0.0039863
485,-0.00852626
486,-0.0319458
487,-0.0228105
488,-0.00985503
489,-0.00370948
490,0.0106855
491,0.0471159
492,0.0155577
493,-0.000885845
494,0.0105748
495,0.039254
496,0.0961696
497,0.0767917
498,-0.132212
499,0.043351
500,0.235967
501,-0.112724
502,-0.142953
503,0.272453
504,0.0341604
505,-0.388443
506,-0.211219
507,0.246431
508,-0.0412472
509,-0.45693
510,0.0882523
511,0.530455
512,0.0715874
513,0.0930691
514,0.342102
515,-0.568491
516,-0.44702
517,0.901901
518,0.126178
519,-1.27379
520,-1.0211
521,-0.333244
522,0.689464
523,1.24063
524,-0.391654
525,-1.10144
526,0.612174
527,1.56772
528,0.785468
529,-0.449013
530,-1.29726
531,-0.421884
532,0.543743
533,-0.0653311
534,-0.23951
535,0.881305
536,0.749923
537,-0.4979
538,-0.526801
539,0.353674
540,0.216423
541,-0.515894
542,-0.364027
543,0.352732
544,0.00193779
545,-1.05775
546,-0.817247
547,0.160006
548,0.675678
549,0.690184
550,0.901071
551,0.327652
552,-0.705576
553,0.019101
554,1.20624
555,-1.28259
556,-2.77209
557,-0.00708676
558,1.08034
559,0.475699
560,1.0577
561,-0.213101
562,-0.420832
563,1.86277
564,0.407157
565,-2.03141
566,-0.610015
567,-0.43567
568,-0.828708
569,0.700261
570,0.388222
571,-0.226333
572,0.912697
573,-0.458259
574,-0.388388
575,2.03086
576,0.570429
577,-1.72385
578,-0.496682
579,-0.51988
580,-0.786132
581,0.830646
582,0.497291
583,-0.567827
584,1.21394
585,1.19035
586,-1.14473
587,-0.378256
588,0.718365
589,-0.535217
590,-0.0591302
591,-0.154137
592,-1.10249
593,0.44702
594,0.649324
595,-0.449732
596,0.8085
597,0.813372
598,-0.540366
599,0.144946
600,0.164823
601,-1.13787
602,0.0645006
603,0.952948
604,-1.03611
605,-1.2687
606,0.344981
607,0.875935
608,1.37987
609,0.623967
610,-1.24611
611,-0.147881
612,0.694613
613,-1.26504
614,-0.954166
615,0.764041
616,0.350961
617,0.0391433
618,0.228714
619,0.195163
620,0.527687
621,-0.145112
622,-1.04463
623,-0.071532
624,0.538206
625,-0.0514897
626,-0.0361536
627,0.0164989
628,0.135424
629,0.569709
630,-0.406658
631,-1.0319
632,0.508973
633,0.864087
634,-0.18409
635,-0.315416
636,0.0130662
637,0.238237
638,-0.235081
639,-0.852294
640,0.490814
641,1.23348
642,-0.779599
643,-1.09369
644,0.776
645,0.598388
646,-0.131769
647,-0.0362643
648,-0.346974
649,0.0879755
650,0.105194
651,-0.718919
652,0.058798
653,0.64185
654,0.0322226
655,0.26221
656,0.0286239
657,-0.472986
658,0.345812
659,0.233808
660,-0.715043
661,0.141015
662,0.549058
663,-0.794825
664,-0.584658
665,0.604811
666,0.555314
667,0.36746
668,0.017274
669,-0.380415
670,0.00105194
671,-0.219413
672,-0.511576
673,0.312703
674,0.348137
675,-0.340884
676,-0.0210388
677,0.390768
678,0.186803
679,-0.0785634
680,-0.147936
681,-0.133818
682,-0.117817
683,-0.164047
684,-0.0339389
685,0.308219
686,0.274557
687,0.0276827
688,0.079117
689,-0.115603
690,-0.34177
691,0.0317797
692,0.204686
693,0.0027129
694,-0.014395
695,-0.0470605
696,-0.0305617
697,-0.159009
698,-0.155466
699,0.416403
700,0.331694
701,-0.377924
702,-0.246874
703,0.172518
704,0.155023
705,0.085927
706,0.0171079
707,-0.0330531
708,-0.130828
709,-0.215593
710,-0.0121804
711,0.216977
712,0.12507
713,-0.0152255
714,0.000719749
715,-0.129001
716,-0.229545
717,0.0818853
718,0.17955
719,0.0304509
720,0.0589641
721,-0.0365411
722,-0.0985503
723,0.0465069
724,-0.019544
725,0.0303956
726,0.172075
727,-0.123409
728,-0.275332
729,-0.0255234
730,0.121914
731,0.155687
732,0.110897
733,-0.0769024
734,-0.135756
735,0.0141735
736,0.0504932
737,0.0285685
738,0.138635
739,0.05077
740,-0.200146
741,-0.136143
742,0.0491644
743,0.113831
744,0.110288
745,-0.0318904
746,-0.108405
747,-0.0640023
748,-0.120752
749,-0.0645006
750,0.161556
751,0.218195
752,0.0809441
753,-0.0643345
754,-0.127562
755,-0.0978305
756,0.0555314
757,0.148047
758,0.0408596
759,-0.0280149
760,-0.0869789
761,-0.179384
762,-0.0603482
763,0.112945
764,0.151701
765,0.061234
766,-0.113499
767,-0.0827712
768,0.0534275
769,0.0119035
770,-0.023032
771,0.0743556
772,0.060016
773,-0.078508
774,-0.0918511
775,0.0520988
776,0.113665
777,0.0752415
778,0.0192671
779,-0.0529292
780,-0.116489
781,-0.144337
782,-0.0146718
783,0.178775
784,0.129167
785,-0.0424098
786,-0.07502
787,-0.0307831
788,0.0176062
789,0.0447352
790,0.0347141
791,0.00310046
792,-0.0358767
793,-0.0668259
794,-0.0584658
795,0.000332192
796,0.0697049
797,0.0501056
798,-0.0327763
799,-0.033496
800,0.0146718
801,0.0323333
802,0.0336067
803,0.00808334
804,-0.024859
805,-0.0469498
806,-0.0715874
807,-0.0246929
808,0.0949515
809,0.123908
810,0.0308938
811,-0.0678779
812,-0.106634
813,-0.0596838
814,0.0467283
815,0.0942871
816,0.0758505
817,0.0112392
818,-0.0520988
819,-0.0919064
820,-0.0538151
821,0.0359321
822,0.0891382
823,0.0599053
824,-0.0270736
825,-0.0707569
826,-0.0137306
827,0.0222569
828,-0.00094121
829,0.0104087
830,0.031669
831,-0.0325548
832,-0.0908545
833,-0.0420776
834,0.0436832
835,0.0952837
836,0.0777883
837,-0.00620092
838,-0.0689298
839,-0.0528185
840,0.00453996
841,0.0633379
842,0.0451227
843,-0.0496627
844,-0.0508807
845,-0.00769578
846,0.00758505
847,0.04623
848,0.0356553
849,-0.0246376
850,-0.0411918
851,-0.0482786
852,-0.0318904
853,0.0174401
854,0.0234195
855,0.02425
856,0.0103533
857,-0.0556421
858,-0.0352677
859,0.049109
860,0.0258556
861,0.0164989
862,0.04623
863,-0.030008
864,-0.104087
865,-0.0594624
866,0.0192671
867,0.0383128
868,0.00249144
869,-0.0188796
870,-0.00155023
871,-0.00315582
872,0.00448459
873,0.0315582
874,-0.00442923
875,-0.0255788
876,-0.0228105
877,-0.0649435
878,-0.0214817
879,0.0647221
880,0.0377591
881,-0.0148933
882,-0.0102979
883,-0.0180491
884,-0.0460639
885,-0.021371
886,0.0176062
887,0.0467283
888,0.0387004
889,-0.030617
890,-0.0472266
891,0.00459532
892,0.0365411
893,0.063504
894,0.0285131
895,-0.0247483
896,-0.00841553
897,0.00680993
898,0.02425
899,0.0610126
900,0.0125126
901,-0.0532061
902,-0.00204852
903,0.00714213
904,-0.0421884
905,0.00775114
906,0.0464515
907,0.00382021
908,0.002879
909,-0.017883
910,-0.0741342
911,-0.02198
912,0.0404167
913,0.0249144
914,0.0122357
915,-0.00885845
916,-0.023641
917,0.0319458
918,0.0332746
919,0.0230873
920,0.0545348
921,-0.0126787
922,-0.0917403
923,-0.0176062
924,0.0337175
925,0.00647774
926,0.0252466
927,0.0126787
928,-0.0156684
929,0.0295097
930,0.0162774
931,-0.0468944
932,0.0104087
933,0.0389218
934,-0.012734
935,-0.00963357
936,0.00110731
937,-0.00498288
938,0.0262985
939,0.0284024
940,-0.0102426
941,-0.00171632
942,-0.00548117
943,-0.0515451
944,-0.0129555
945,0.0544241
946,0.0159452
947,-0.043351
948,-0.0362643
949,0.00991039
950,0.0629504
951,0.0550331
952,0.00210388
953,-0.0227551
954,-0.00874772
955,-0.0107409
956,0.0027129
957,0.00841553
958,-0.00697603
959,0.0278488
960,0.0335514
961,-0.0342711
962,-0.0203191
963,0.0286792
964,-0.000775114
965,0.00348802
966,0.0310599
967,-0.0186027
968,-0.0407489
969,-0.010464
970,0.00382021
971,0.0245822
972,0.0309492
973,-0.0158898
974,-0.0125679
975,0.0200422
976,-0.0155577
977,-0.0160006
978,0.0202637
979,-0.00586872
980,-0.0273505
981,0.00996576
982,0.0414686
983,0.0267414
984,-0.0217586
985,-0.0352677
986,0.0209835
987,0.0275719
988,-0.0262985
989,-0.0153362
990,0.0150594
991,0.00332192
992,0.00891382
993,-0.0126233
994,-0.0339943
995,0.0122357
996,0.0190457
997,-0.0125679
998,0.0318351
999,0.0258556
1000,-0.0556975
1001,-0.0419669
1002,0.0155577
1003,0.0095782
1004,0.0108516
1005,-0.017883
1006,-0.032278
1007,0.0266861
1008,0.0272951
1009,-0.00797261
1010,0.0203191
1011,0.0100765
1012,-0.0419115
1013,-0.0083048
1014,0.0108516
1015,-0.0241393
1016,0.0134538
1017,0.02879
1018,-0.00741895
1019,0.000664384
1020,-0.0168864
1021,-0.0211496
1022,0.0355445
1023,0.000166096
1024,-0.0640023
1025,-0.00896918
1026,0.00786188
1027,-0.0321672
1028,0.0218693
1029,0.0425759
1030,-0.0054258
1031,0.012125
1032,-0.00166096
1033,-0.0286239
1034,0.012125
1035,0.0163881
1036,-0.00603482
1037,0.0289561
1038,0.00249144
1039,-0.0356553
1040,0.0306724
1041,0.0385896
1042,-0.0187135
1043,5.53653e-05
1044,-0.00177169
1045,-0.0364304
1046,-0.0125126
1047,-0.0100211
1048,-0.0105194
1049,0.0315029
1050,0.0247483
1051,-0.0160006
1052,-0.0014395
1053,0.0068653
1054,-0.0173847
1055,0.00282363
1056,0.00177169
1057,-0.0126787
1058,-0.00531507
1059,0.00182706
1060,-0.00874772
1061,0.00819407
1062,0.0232534
1063,-0.00204852
1064,-0.0226444
1065,-0.00930137
1066,0.0132877
1067,0.0163328
1068,-0.0054258
1069,-0.0105194
1070,0.00094121
1071,0.00470605
1072,-0.00858162
1073,-0.0203191
1074,0.0135091
1075,0.0245822
1076,-0.0188796
1077,-0.0224783
1078,0.00575799
1079,0.00747432
1080,0.0107409
1081,0.00382021
1082,-0.002879
1083,0.00714213
1084,0.00476142
1085,-0.0194332
1086,0.00470605
1087,0.0412472
1088,0.00609019
1089,-0.0104087
1090,0.0097443
1091,-0.00592409
1092,-0.0174954
1093,-0.00132877
1094,0.00642238
1095,0.015004
1096,0.0199315
1097,-0.00802797
1098,-0.0110731
1099,0.0140074
1100,-0.00631165
1101,-0.0183813
1102,-0.00116267
1103,-0.0102426
1104,-0.000221461
1105,0.00874772
1106,-0.0083048
1107,-0.000221461
1108,0.0202637
1109,-0.00896918
1110,0.00282363
1111,0.0239732
1112,-0.0147272
1113,-0.00764041
1114,0.0198208
1115,-0.0204298
1116,-0.0151701
1117,0.0133984
1118,-0.00620092
1119,0.0138413
1120,0.0295097
1121,-0.0180491
1122,-0.0164435
1123,0.00968893
1124,-0.0249144
1125,-0.0103533
1126,0.0306724
1127,-0.00874772
1128,-0.023032
1129,0.0125679
1130,0.0102979
1131,0.00276827
1132,0.0150594
1133,0.0109623
1134,-0.00420776
1135,-0.0159452
1136,-0.0211496
1137,0.00249144
1138,0.0111284
1139,-0.00343265
1140,0.0162774
1141,0.0267414
1142,-0.00199315
1143,-0.0157791
1144,0.00393094
1145,0.00808334
1146,-0.00332192
1147,-0.013786
1148,-0.0155023
1149,0.00896918
1150,0.0191564
1151,-0.00996576
1152,-0.00426313
1153,0.0134538
1154,-0.0102426
1155,-0.0298973
1156,-0.00442923
1157,0.0154469
1158,0.00276827
1159,-0.00243607
1160,-0.000166096
1161,-0.00979966
1162,0.00952283
1163,0.0254127
1164,-0.00370948
1165,-0.020153
1166,0.0111838
1167,0.00797261
1168,-0.0239178
1169,-0.0054258
1170,0.00110731
1171,-0.00697603
1172,0.015613
1173,-0.00094121
1174,-0.0306724
1175,0.00658847
1176,0.0167203
1177,-0.00719749
1178,0.00808334
1179,-0.00193779
1180,-0.0238071
1181,0.0113499
1182,0.0110731
1183,-0.021371
1184,0.0012734
1185,0.00304509
1186,-0.0218693
1187,0.00282363
1188,-0.00376484
1189,0.000996576
1190,0.0470605
1191,-0.00166096
1192,-0.0457871
1193,0.0066992
1194,0.00326655
1195,-0.0276827
1196,0.00492751
1197,0.016665
1198,0.000166096
1199,0.0306724
1200,0.0102426
1201,-0.0272397
1202,0.019544
1203,0.0163328
1204,-0.0379252
1205,-0.00260217
1206,0.0209281
1207,-0.0240839
1208,-0.0163328
1209,0.0183813
1210,0.0158345
1211,0.0194886
1212,0.00348802
1213,-0.0304509
1214,-0.00902455
1215,0.0215925
1216,-0.00991039
1217,-0.0174954
1218,-0.00802797
1219,-0.0124018
