t,d
1,0.192336
2,0.196734
3,0.20465
4,0.191163
5,0.204944
6,0.195855
7,0.192336
8,0.187352
9,0.197027
10,0.188231
11,0.197027
12,0.197027
13,0.203771
14,0.191457
15,0.1982
16,0.196148
17,0.195561
18,0.187645
19,0.196441
20,0.187938
21,0.194682
22,0.197027
23,0.204064
24,0.192043
25,0.203184
26,0.195855
27,0.195268
28,0.187938
29,0.197614
30,0.188525
31,0.195561
32,0.197614
33,0.202598
34,0.191457
35,0.201132
36,0.196148
37,0.193216
38,0.187352
39,0.197907
40,0.189111
41,0.194389
42,0.196734
43,0.201718
44,0.192629
45,0.199373
46,0.195268
47,0.193802
48,0.187645
49,0.197321
50,0.188818
51,0.196441
52,0.1982
53,0.208462
54,0.19175
55,0.199959
56,0.195561
57,0.197027
58,0.186766
59,0.200839
60,0.187645
61,0.194389
62,0.197614
63,0.201425
64,0.189111
65,0.198493
66,0.194095
67,0.194389
68,0.187059
69,0.196148
70,0.187059
71,0.194095
72,0.198787
73,0.200253
74,0.190577
75,0.197907
76,0.193216
77,0.194682
78,0.186766
79,0.200839
80,0.187645
81,0.197027
82,0.199959
83,0.200546
84,0.192043
85,0.201425
86,0.192923
87,0.193216
88,0.187059
89,0.197907
90,0.187059
91,0.195561
92,0.199666
93,0.20465
94,0.190284
95,0.199373
96,0.192923
97,0.196148
98,0.186766
99,0.195855
100,0.188525
101,0.194975
102,0.19908
103,0.1982
104,0.191457
105,0.200839
106,0.193802
107,0.195561
108,0.186179
109,0.193802
110,0.188525
111,0.195561
112,0.199666
113,0.206116
114,0.191163
115,0.202891
116,0.193509
117,0.194682
118,0.185886
119,0.194682
120,0.187645
121,0.197321
122,0.198493
123,0.202305
124,0.19087
125,0.202012
126,0.193802
127,0.187352
128,0.186766
129,0.199666
130,0.188525
131,0.197321
132,0.200253
133,0.203771
134,0.190577
135,0.199373
136,0.192923
137,0.188818
138,0.187645
139,0.197027
140,0.187059
141,0.193509
142,0.200253
143,0.204944
144,0.192629
145,0.197027
146,0.193216
147,0.189991
148,0.186472
149,0.194975
150,0.186766
151,0.194389
152,0.200546
153,0.203771
154,0.19175
155,0.199373
156,0.193509
157,0.19175
158,0.187645
159,0.194682
160,0.186472
161,0.193509
162,0.199373
163,0.204357
164,0.193216
165,0.202012
166,0.194682
167,0.194095
168,0.188231
169,0.197907
170,0.186179
171,0.195268
172,0.199373
173,0.198493
174,0.193216
175,0.199373
176,0.194095
177,0.192629
178,0.187938
179,0.194389
180,0.187352
181,0.194095
182,0.19908
183,0.202598
184,0.193509
185,0.204064
186,0.192043
187,0.193509
188,0.188231
189,0.196734
190,0.186472
191,0.197321
192,0.199959
193,0.203478
194,0.19175
195,0.200839
196,0.19175
197,0.189404
198,0.188525
199,0.195561
200,0.184713
201,0.197027
202,0.199666
203,0.199373
204,0.193802
205,0.20465
206,0.192336
207,0.194975
208,0.189111
209,0.194682
210,0.187059
211,0.198493
212,0.200546
213,0.201132
214,0.194389
215,0.202598
216,0.193509
217,0.192336
218,0.189111
219,0.196148
220,0.186179
221,0.198787
222,0.199959
223,0.200839
224,0.194095
225,0.20553
226,0.192923
227,0.195268
228,0.188231
229,0.192923
230,0.186179
231,0.195268
232,0.201132
233,0.202891
234,0.194095
235,0.201425
236,0.192336
237,0.193216
238,0.188818
239,0.196734
240,0.187352
241,0.199666
242,0.199666
243,0.199959
244,0.192336
245,0.200546
246,0.191163
247,0.191163
248,0.188231
249,0.194095
250,0.187352
251,0.1982
252,0.199666
253,0.201425
254,0.192629
255,0.201425
256,0.191457
257,0.190577
258,0.188525
259,0.197907
260,0.187645
261,0.197321
262,0.200546
263,0.200839
264,0.192923
265,0.202305
266,0.192923
267,0.189111
268,0.189697
269,0.195855
270,0.187059
271,0.197027
272,0.19908
273,0.199666
274,0.193216
275,0.197027
276,0.192336
277,0.197614
278,0.189404
279,0.194095
280,0.187938
281,0.200546
282,0.198787
283,0.197907
284,0.193802
285,0.197614
286,0.19175
287,0.191457
288,0.189697
289,0.196734
290,0.185006
291,0.196734
292,0.197907
293,0.202012
294,0.192923
295,0.197027
296,0.190577
297,0.193802
298,0.189991
299,0.194975
300,0.187645
301,0.199959
302,0.197907
303,0.197027
304,0.192043
305,0.204944
306,0.190284
307,0.192336
308,0.190284
309,0.194975
310,0.185886
311,0.195561
312,0.197321
313,0.194095
314,0.19175
315,0.206116
316,0.191457
317,0.196148
318,0.190577
319,0.195268
320,0.1853
321,0.201132
322,0.196441
323,0.19908
324,0.19175
325,0.205823
326,0.190577
327,0.193216
328,0.19175
329,0.194682
330,0.18442
331,0.202012
332,0.197321
333,0.1982
334,0.193216
335,0.202305
336,0.19087
337,0.194389
338,0.191163
339,0.19175
340,0.1853
341,0.200546
342,0.195855
343,0.195268
344,0.192629
345,0.202012
346,0.19087
347,0.19175
348,0.192043
349,0.194095
350,0.185886
351,0.202012
352,0.197027
353,0.198787
354,0.192923
355,0.202305
356,0.191163
357,0.192043
358,0.192336
359,0.195855
360,0.185006
361,0.200839
362,0.197321
363,0.193509
364,0.192923
365,0.206116
366,0.19087
367,0.192629
368,0.193509
369,0.196441
370,0.186766
371,0.198787
372,0.196148
373,0.196734
374,0.193802
375,0.201132
376,0.191163
377,0.191457
378,0.19175
379,0.193802
380,0.187059
381,0.196734
382,0.197907
383,0.196734
384,0.192629
385,0.202012
386,0.189991
387,0.190284
388,0.190577
389,0.194095
390,0.186766
391,0.200839
392,0.198787
393,0.197614
394,0.193509
395,0.19908
396,0.189697
397,0.191457
398,0.190577
399,0.196441
400,0.189111
401,0.203478
402,0.198787
403,0.19908
404,0.194389
405,0.200253
406,0.187645
407,0.19175
408,0.19175
409,0.193509
410,0.189111
411,0.205823
412,0.197321
413,0.196148
414,0.194975
415,0.199959
416,0.188525
417,0.194975
418,0.192336
419,0.192923
420,0.189991
421,0.203771
422,0.197321
423,0.194095
424,0.194682
425,0.200839
426,0.189404
427,0.193509
428,0.193216
429,0.191457
430,0.189991
431,0.204357
432,0.196734
433,0.194389
434,0.193216
435,0.197321
436,0.187938
437,0.194389
438,0.192923
439,0.193216
440,0.189991
441,0.207582
442,0.197321
443,0.1982
444,0.193802
445,0.201132
446,0.189111
447,0.187938
448,0.191163
449,0.193509
450,0.190577
451,0.206703
452,0.197614
453,0.200253
454,0.193216
455,0.195268
456,0.187645
457,0.188525
458,0.190284
459,0.194095
460,0.190284
461,0.206996
462,0.197907
463,0.197614
464,0.193509
465,0.1982
466,0.187645
467,0.194975
468,0.192923
469,0.195855
470,0.190577
471,0.209342
472,0.196441
473,0.191163
474,0.194682
475,0.200546
476,0.188231
477,0.193509
478,0.192336
479,0.195561
480,0.19087
481,0.20465
482,0.195268
483,0.197321
484,0.194389
485,0.196148
486,0.188525
487,0.197321
488,0.230158
489,0.423667
490,0.427772
491,-0.543291
492,0.420442
493,0.00381154
494,0.351835
495,-0.566454
496,1.14141
497,1.13701
498,-1.13965
499,0.0472045
500,1.11121
501,-0.471752
502,-0.883105
503,2.81233
504,-1.0083
505,-0.43305
506,0.867859
507,0.143666
508,-0.267687
509,0.0835607
510,1.14376
511,-1.17718
512,0.998037
513,0.731229
514,-0.371772
515,-0.075058
516,0.335709
517,0.326327
518,0.36796
519,0.600758
520,-0.260651
521,-0.420149
522,0.764361
523,-0.00263876
524,0.401091
525,0.898351
526,-0.0583459
527,-0.980739
