t,d
1,0.000333625
2,0.00040035
3,6.6725e-05
4,0
5,0.00013345
6,0
7,0.000200175
8,0.0002669
9,0.000600525
10,0.000467075
11,0.00013345
12,6.6725e-05
13,0.000333625
14,0.00040035
15,6.6725e-05
16,0
17,0.000333625
18,0.00066725
19,0.000600525
20,0.000467075
21,0.0005338
22,0.000600525
23,0.0005338
24,0.000333625
25,0.000200175
26,0
27,0
28,6.6725e-05
29,0.0002669
30,0.000467075
31,0.0002669
32,6.6725e-05
33,0
34,0.0002669
35,0.000200175
36,0
37,0.0002669
38,0.0005338
39,0.000600525
40,0.0005338
41,0.00040035
42,0.000467075
43,0.000333625
44,0.000467075
45,0.0002669
46,0
47,6.6725e-05
48,0.000333625
49,0.000467075
50,0.000333625
51,0.00013345
52,6.6725e-05
53,0.0002669
54,0.00066725
55,0.000467075
56,0.000200175
57,0.000333625
58,0.0005338
59,0.00040035
60,0.00013345
61,0.0002669
62,0.000333625
63,0.000333625
64,0.000200175
65,0.0002669
66,0.000200175
67,0.0005338
68,0.00040035
69,0.000333625
70,0.0002669
71,0.0002669
72,0.000333625
73,0.00040035
74,0.000200175
75,0.00040035
76,0.00040035
77,0.000867425
78,0.000733975
79,0.00040035
80,0.000200175
81,0.000333625
82,0.0002669
83,6.6725e-05
84,-6.6725e-05
85,0
86,0.00013345
87,-6.6725e-05
88,-0.0002669
89,0.00013345
90,0.000333625
91,0.000467075
92,0.000467075
93,0.000467075
94,0.000600525
95,0.00066725
96,0.000600525
97,0.0005338
98,0.000333625
99,0
100,0.0002669
101,0.000600525
102,0.00066725
103,0.0002669
104,0.000200175
105,0
106,0.00013345
107,0.000200175
108,0.000333625
109,0.00013345
110,0
111,0.000333625
112,0.000333625
113,0.000333625
114,0.00013345
115,0.000200175
116,0.0005338
117,0.000600525
118,0.000467075
119,0.000200175
120,0.000200175
121,0.000467075
122,0.00040035
123,0.000200175
124,0.0002669
125,0.0002669
126,0
127,-0.00013345
128,6.6725e-05
129,0.000333625
130,0.00013345
131,0
132,0.000200175
133,0.000600525
134,0.000733975
135,0.000600525
136,0.0002669
137,0.0005338
138,0.00093415
139,0.000733975
140,0.000467075
141,0.000200175
142,-6.6725e-05
143,-6.6725e-05
144,6.6725e-05
145,0.0002669
146,0.000200175
147,0
148,0.00013345
149,0.0002669
150,0.00013345
151,0.0002669
152,0.0002669
153,0.00040035
154,0.00040035
155,0.0005338
156,0.000733975
157,0.0008007
158,0.000333625
159,0.00013345
160,0.000333625
161,0.0002669
162,6.6725e-05
163,6.6725e-05
164,0
165,0.0002669
166,0.000600525
167,0.00013345
168,-6.6725e-05
169,6.6725e-05
170,0.000467075
171,0.000467075
172,0
173,0
174,0.000467075
175,0.00066725
176,0.00013345
177,6.6725e-05
178,0.00013345
179,0.00013345
180,0.00040035
181,0.0005338
182,0.000600525
183,0.000600525
184,0.000467075
185,0.00013345
186,0.000200175
187,0.000333625
188,0.0002669
189,0.000200175
190,0
191,0.000333625
192,0.000467075
193,0.00040035
194,0.000467075
195,0.0005338
196,0.00040035
197,0.00066725
198,0.0008007
199,0.00066725
200,0.00066725
201,0.00093415
202,0.000867425
203,0.000200175
204,6.6725e-05
205,6.6725e-05
206,6.6725e-05
207,0
208,-6.6725e-05
209,-0.00013345
210,0.00013345
211,0.000333625
212,0.00013345
213,0.000200175
214,0.000467075
215,0.0005338
216,0.0002669
217,0.0002669
218,0.000333625
219,0.000467075
220,0.00013345
221,0.000200175
222,0.000467075
223,0.000600525
224,0.0005338
225,0.000200175
226,0
227,0.000200175
228,0
229,-6.6725e-05
230,0
231,0
232,0.000200175
233,0.000200175
234,0.0005338
235,0.00066725
236,0.000733975
237,0.000600525
238,0.0005338
239,0.0002669
240,0
241,0.00013345
242,0.0002669
243,0.00013345
244,0.0002669
245,0.000600525
246,0.000600525
247,0.000333625
248,0.0002669
249,0.000333625
250,0.000200175
251,6.6725e-05
252,0.000200175
253,0.0002669
254,0.0005338
255,0.00066725
256,0.000600525
257,0.00040035
258,0.000333625
259,0.00013345
260,0.00013345
261,0.00040035
262,0.000467075
263,0.0002669
264,0.00013345
265,0.000333625
266,0.000467075
267,0.00040035
268,0.0002669
269,0.000200175
270,0.0002669
271,0.000200175
272,0.00013345
273,0.000200175
274,0.00013345
275,0.00040035
276,0.000467075
277,0.000867425
278,0.0005338
279,0.000200175
280,0.000200175
281,0.00013345
282,0
283,-0.00013345
284,-0.00013345
285,6.6725e-05
286,0.0005338
287,0.000200175
288,6.6725e-05
289,0.000333625
290,0.000867425
291,0.0008007
292,0.000333625
293,0.000200175
294,0.00013345
295,0.00040035
296,0.0005338
297,0.0005338
298,0.00066725
299,0.0005338
300,0.000467075
301,0.0005338
302,0.000333625
303,0
304,0
305,0.0002669
306,0.00013345
307,6.6725e-05
308,0
309,0.00013345
310,0.000200175
311,0.00040035
312,0.00066725
313,0.000733975
314,0.000467075
315,6.6725e-05
316,0.000333625
317,0.000733975
318,0.000600525
319,0.000200175
320,-6.6725e-05
321,0
322,6.6725e-05
323,0.000333625
324,0.0002669
325,0.000333625
326,0.0002669
327,0.00013345
328,6.6725e-05
329,0.00040035
330,0.000733975
331,0.00066725
332,0.0002669
333,6.6725e-05
334,0.0002669
335,0.000333625
336,0.000467075
337,0.000467075
338,0.0005338
339,0.000333625
340,0.0002669
341,0.00013345
342,6.6725e-05
343,6.6725e-05
344,0
