t,d
1,0.0005338
2,0.0005338
3,0.000333625
4,0.000200175
5,0.00013345
6,0.000200175
7,0.000200175
8,0.000333625
9,0.0002669
10,0.0002669
11,0.0002669
12,0.0002669
13,0.000333625
14,0.000333625
15,0.00040035
16,0.00040035
17,0.000467075
18,0.000200175
19,0
20,0.0002669
21,0.00013345
22,6.6725e-05
23,0.000200175
24,0.0002669
25,0.0002669
26,0.000333625
27,0.000467075
28,0.000467075
29,0.00040035
30,0.000200175
31,0.000200175
32,0.00013345
33,0.000200175
34,0.00013345
35,0.00040035
36,0.00040035
37,0.000600525
38,0.000600525
39,0.000467075
40,0.000333625
41,0.000200175
42,6.6725e-05
43,6.6725e-05
44,6.6725e-05
45,6.6725e-05
46,0.0002669
47,0.000467075
48,0.000467075
49,0.0005338
50,0.000600525
51,0.000467075
52,0.000333625
53,0.00013345
54,6.6725e-05
55,0.00013345
56,6.6725e-05
57,0.000200175
58,0.0002669
59,0.00040035
60,0.0005338
61,0.00066725
62,0.000467075
63,0.000467075
64,0.00013345
65,6.6725e-05
66,0.00013345
67,0.0002669
68,0.000467075
69,0.000600525
70,0.000467075
71,0.000467075
72,0.000333625
73,0.00013345
74,0.00013345
75,0.000200175
76,0.0002669
77,0.00040035
78,0.00040035
79,0.000467075
80,0.000333625
81,0.00040035
82,0.0002669
83,0.000200175
84,0
85,0.00013345
86,6.6725e-05
87,0.0002669
88,0.0005338
89,0.000600525
90,0.000600525
91,0.000467075
92,0.000333625
93,6.6725e-05
94,0
95,0.0002669
96,0.00040035
97,0.000467075
98,0.0002669
99,0.000333625
100,0.0002669
101,0.00040035
102,0.000467075
103,0.000333625
104,0.000333625
105,0.000200175
106,0.0002669
107,0.0002669
108,0.0005338
109,0.000600525
110,0.0005338
111,0.000467075
112,0.0002669
113,0.0002669
114,0.00013345
115,0.000200175
116,0.000200175
117,0.00040035
118,0.00040035
119,0.0005338
120,0.000467075
121,0.000333625
122,0.0002669
123,0.000200175
124,0.00013345
125,0.000200175
126,0.000200175
127,0.000333625
128,0.0005338
129,0.00066725
130,0.00066725
131,0.000467075
132,0.000333625
133,0.000200175
134,0.000200175
135,0.00013345
136,0.000333625
137,0.000333625
138,0.000333625
139,0.00040035
140,0.000467075
141,0.000333625
142,0.00013345
143,6.6725e-05
144,6.6725e-05
145,0
146,0
147,0.000333625
148,0.000467075
149,0.000600525
150,0.00040035
151,0.000333625
152,0.00040035
153,0.0002669
154,-6.6725e-05
155,-0.00013345
156,0
157,0.0002669
158,0.000333625
159,0.00040035
160,0.000333625
161,0.000467075
162,0.0002669
163,0.0002669
164,0.00013345
165,0
166,6.6725e-05
167,0.0002669
168,0.00040035
169,0.00040035
170,0.0002669
171,0.00040035
172,0.0005338
173,0.0005338
174,0.00040035
175,0.0002669
176,0.0002669
177,0.000200175
178,0.000200175
179,0.0002669
180,0.00040035
181,0.0002669
182,0.000200175
183,0.00013345
184,0.00013345
185,0.000200175
186,0.000333625
187,0.000467075
188,0.000467075
189,0.000467075
190,0.00040035
191,0.00040035
192,0.00040035
193,0.00040035
194,0.00040035
195,0.000333625
196,0.000333625
197,0.000333625
198,0.00013345
199,0.000200175
200,0.0002669
201,0.000467075
202,0.0005338
203,0.00040035
204,0.000333625
205,0.000333625
206,0.000333625
207,0.000467075
208,0.00040035
209,0.000467075
210,0.0002669
211,0.0002669
212,0.0002669
213,0.0002669
214,0.0002669
215,0.00040035
216,0.000333625
217,0.000333625
218,0.0002669
219,0.0002669
220,0.00013345
221,0.000333625
222,0.00040035
223,0.00040035
224,0.000333625
225,0.00040035
226,0.000333625
227,0.000333625
228,0.000467075
229,0.00040035
230,0.0005338
231,0.00040035
232,0.0002669
233,0.00013345
234,0.0002669
235,0.00040035
236,0.0002669
237,0.0002669
238,0.0002669
239,0.000333625
240,0.000200175
241,0.000200175
242,0.000200175
243,0.000200175
244,0.00013345
245,0.0002669
246,0.00040035
247,0.0005338
248,0.000467075
249,0.0005338
250,0.00040035
251,0.0002669
252,0.000200175
253,0.000200175
254,0.00040035
255,0.0002669
256,0.0002669
257,0.000467075
258,0.000467075
259,0.000467075
260,0.0002669
261,0.000200175
262,0.0002669
263,0.0002669
264,0.0002669
265,0.000200175
266,0.000200175
267,0.000333625
268,0.000333625
269,0.000333625
270,0.00040035
271,0.00040035
272,0.000467075
273,0.000333625
274,0.0002669
275,0.0002669
276,0.00013345
277,0.000200175
278,0.00013345
279,0.0002669
280,0.0002669
281,0.0002669
282,0.0002669
283,0.000333625
284,0.000200175
285,0.0002669
286,0.000200175
287,0.000333625
288,0.0005338
289,0.0005338
290,0.0002669
291,0.000200175
292,0
293,0.000200175
294,0.000333625
295,0.00040035
296,0.000467075
297,0.000467075
298,0.000333625
299,0.0002669
300,0.000200175
301,0.000200175
302,0.00013345
303,0.000200175
304,0.00013345
305,0.000333625
306,0.000467075
307,0.000467075
308,0.0005338
309,0.00040035
310,0.00040035
311,0.00040035
312,0.00040035
313,0.000333625
314,0.0002669
315,0.000333625
316,0.000333625
317,0.00040035
318,0.00040035
319,0.00040035
320,0.000333625
321,0.00040035
322,0.000200175
323,0.000200175
324,0.000200175
325,0.00040035
326,0.000467075
327,0.000600525
328,0.000467075
329,0.000467075
330,0.000467075
331,0.000333625
332,0.000333625
333,0.000333625
334,0.000200175
335,0.000333625
336,0.000333625
337,0.000333625
338,0.000200175
339,0.000200175
340,0.00013345
341,0.00040035
342,0.000333625
343,0.0002669
344,0.0002669
345,0.0002669
346,0.000333625
347,0.000467075
348,0.0005338
349,0.000467075
350,0.00040035
351,0.00040035
352,6.6725e-05
353,6.6725e-05
354,0
355,6.6725e-05
356,0.0002669
357,0.000467075
358,0.000467075
359,0.00040035
360,0.000333625
361,0.0002669
362,0.00013345
363,0
364,6.6725e-05
365,0.000200175
366,0.000200175
367,0.000333625
368,0.000333625
369,0.000333625
370,0.000333625
371,0.000467075
372,0.000333625
373,0.000200175
374,0.000200175
375,0.00040035
376,0.000467075
377,0.00040035
378,6.6725e-05
379,0.000200175
380,0.0002669
381,0.000200175
382,0.000200175
383,6.6725e-05
384,0.00013345
385,0.000200175
386,0.000333625
387,0.000467075
388,0.000333625
389,0.0002669
390,0.000333625
391,0.000333625
392,0.0002669
393,0.0002669
394,0.000200175
395,0.000333625
396,0.00040035
397,0.000333625
398,0.0002669
399,0.0002669
400,0.000333625
401,0.00040035
402,0.000467075
403,0.000333625
404,0.000200175
405,0.000200175
406,0.0002669
407,0.000467075
408,0.0005338
409,0.0005338
410,0.00040035
411,0.00040035
412,0.0002669
413,0.000333625
414,0.0002669
415,0.00040035
416,0.00040035
417,0.00040035
418,0.0002669
419,0.0002669
420,0.0002669
421,0.000333625
422,0.00040035
423,0.00040035
424,0.000200175
425,0.000200175
426,6.6725e-05
427,0.00040035
428,0.00040035
429,0.00040035
430,0.0002669
431,0.0002669
432,0.0002669
433,0.000333625
434,0.00040035
435,0.000467075
436,0.00040035
437,0.0005338
438,0.000467075
439,0.0002669
440,0.0002669
441,0.0002669
442,0.000200175
443,6.6725e-05
444,0.00013345
445,0
446,0.000200175
447,0.000467075
448,0.0005338
449,0.000600525
450,0.000333625
451,0.0002669
452,0.000200175
453,0.000333625
454,0.000333625
455,0.00013345
456,0.00013345
457,0.0002669
458,0.00013345
459,6.6725e-05
460,0.000200175
461,0.000333625
462,0.00040035
463,0.00040035
464,0.00013345
465,0.000200175
466,0.0002669
467,0.00040035
468,0.00040035
469,0.000467075
470,0.00040035
471,0.000333625
472,0.0002669
473,0.0002669
474,0.00040035
475,0.00040035
476,0
477,0
478,-6.6725e-05
479,0
480,0.0002669
481,0.000333625
482,0.00040035
483,0.0002669
484,0.000333625
485,0.000600525
486,0.00040035
487,0.000333625
488,0
489,-0.00013345
490,0.0005338
491,0.00200175
492,0.0021352
493,0.00460403
494,0.00440385
495,0.00433713
496,-0.00246883
497,-0.00467075
498,-0.00627215
499,-0.0021352
500,-0.00440385
501,0.000600525
502,-0.000600525
503,0.00447058
504,-0.000200175
505,0.00473748
506,0.0002669
507,-0.00527128
508,-0.00660578
509,-0.0045373
510,-0.000600525
511,0.00226865
512,0.00520455
513,0.0042704
514,0.00407023
515,0.000467075
516,0.00206848
517,-0.00493765
518,-0.00387005
519,0.00193503
520,0.0112765
521,0.00947495
522,0.00120105
523,-0.00200175
524,-0.0002669
525,-0.000600525
526,-0.00100088
527,-0.00206848
528,-0.002669
529,0.000200175
530,0.00326953
531,0.00493765
532,-0.00140123
533,-0.0034697
534,-0.00100088
535,-0.00166813
536,-0.00300263
537,-0.00733975
538,-0.00273573
539,0.0040035
540,0.0058718
541,0.00387005
542,0
543,-0.00286918
544,0.0010676
545,0.000333625
546,-0.0032028
547,-0.00393678
548,-0.0002669
549,0.00100088
550,-0.00220193
551,-0.00753993
552,-0.0093415
553,0.00286918
554,0.0141457
555,0.0122107
556,0.0186163
557,0.0258226
558,0.0178156
559,0.000733975
560,-0.0122107
561,-0.0214855
562,-0.0344301
563,-0.0570499
564,-0.054114
565,-0.01528
566,0.0204846
567,0.0343634
568,0.0301597
569,0.0301597
570,0.0341632
571,0.0180825
572,-0.0110764
573,-0.0242212
574,-0.0116102
575,0.00193503
576,0.0032028
577,0.00807373
578,0.0188165
579,0.0234205
580,0.0118771
581,-0.002669
582,-0.00280245
583,-0.00140123
584,-0.00727303
585,-0.0118103
586,-0.0111431
587,-0.0066725
588,-0.00226865
589,0
590,0
591,0.00547145
592,0.00787355
593,0.00573835
594,0.0045373
595,0.00547145
596,0.00407023
597,-0.00153468
598,-0.000733975
599,0.00834063
600,0.0223529
601,0.0317611
602,0.0312273
603,0.0282914
604,0.0236874
605,0.016748
606,0.0064056
607,-0.0050711
608,-0.0113433
609,-0.0127445
610,-0.0180158
611,-0.0219525
612,-0.0217524
613,-0.0217524
614,-0.0216856
615,-0.0188165
616,-0.0168147
617,-0.0147462
618,-0.0155469
619,-0.0164811
620,-0.0124776
621,-0.0048042
622,0.00313608
623,0.00940823
624,0.0105426
625,0.00420368
626,-0.00286918
627,-0.00493765
628,-0.00333625
629,0.00233538
630,0.00126778
631,-0.00707285
632,-0.0102757
633,-0.00760665
634,-0.0029359
635,-0.00140123
636,-0.00226865
637,-0.00113433
638,-0.0018683
639,-0.00313608
640,-6.6725e-05
641,0.00393678
642,0.00180158
643,-0.0005338
644,0.00226865
645,0.00273573
646,0.0064056
647,0.0118103
648,0.00920805
649,0.00520455
650,0.00700613
651,0.0120105
652,0.0141457
653,0.00840735
654,0.00066725
655,0.00387005
656,0.00420368
657,-0.000333625
658,0
659,-0.00113433
660,-0.0058718
661,-0.00814045
662,-0.00487093
663,-0.00286918
664,-0.00326953
665,-0.0029359
666,-0.00473748
667,-0.00273573
668,6.6725e-05
669,0.00206848
670,-0.0002669
671,-0.00206848
672,-0.0021352
673,-0.00120105
674,0.0008007
675,0
676,-0.0002669
677,0.00473748
678,0.0050711
679,0.00200175
680,0.00380333
681,0.0061387
682,0.0048042
683,0.0037366
684,0.00100088
685,0.0002669
686,0.00407023
687,0.00680595
688,0.00647233
689,0.0082739
690,0.00680595
691,0.00473748
692,0.00340298
693,0.00467075
694,0.0056049
695,0.005338
696,0.00433713
697,0.0032028
698,0.00093415
699,-0.00100088
700,-0.00113433
701,-0.00260228
702,-0.00333625
703,-0.00353643
704,-0.00300263
705,-0.00233538
706,-0.00353643
707,-0.00540473
708,-0.00707285
709,-0.0064056
710,-0.00413695
711,-0.00200175
712,0.0005338
713,0
714,-0.00180158
715,-0.00246883
716,-0.00280245
717,-0.00253555
718,-0.0037366
719,-0.00440385
720,-0.00300263
721,-0.00193503
722,-0.00153468
723,-0.0021352
724,-0.0024021
725,-0.0021352
726,-0.00226865
727,-0.00126778
728,0
729,0.00113433
730,0.0024021
731,0.00433713
732,0.00660578
733,0.00740648
734,0.00713958
735,0.0069394
736,0.00647233
737,0.00500438
738,0.0034697
739,0.00220193
740,0.000733975
741,-0.00013345
742,-6.6725e-05
743,0.00040035
